#Parameters = {L=149.416; Lf=38; Lg=192.8032053872; W=102.45668571429; Wf=3.1; Wg=107.84389110149; ataslengkung=17.811178807947; bawahlengkung=49.475496688742; dgs=160; h=0.89786756453423; sampingdgs=0; skala=8.5380571428571; t=0.019640852974186}
#"Frequency / MHz"	"VSWR1 [Magnitude]"
#-------------------------------------
233.00000000000	22.370925071866
233.39999389648	22.257269615811
233.80000305176	22.144640689120
234.19999694824	22.033016390841
234.60000610352	21.922379776284
235.00000000000	21.812665934225
235.39999389648	21.703936688678
235.80000305176	21.596084735051
236.19999694824	21.489171502335
236.60000610352	21.383151731735
237.00000000000	21.277970140702
237.39999389648	21.173658008737
237.80000305176	21.070146013232
238.19999694824	20.967454827698
238.60000610352	20.865545161120
239.00000000000	20.764408822099
239.39999389648	20.664022061582
239.80000305176	20.564366878344
240.19999694824	20.465409003186
240.60000610352	20.367147110425
241.00000000000	20.269557232504
241.39999389648	20.172612340718
241.80000305176	20.076294781873
242.19999694824	19.980588911920
242.60000610352	19.885483353394
243.00000000000	19.790956763872
243.39999389648	19.696985941756
243.80000305176	19.603556263509
244.19999694824	19.510643727069
244.60000610352	19.418231873201
245.00000000000	19.326316527564
245.39999389648	19.234843773533
245.80000305176	19.143844324155
246.19999694824	19.053261459079
246.60000610352	18.963118835440
247.00000000000	18.873359788833
247.39999389648	18.783987210526
247.80000305176	18.694989514796
248.19999694824	18.606327838634
248.60000610352	18.518022944013
249.00000000000	18.430028398548
249.39999389648	18.342360477457
249.80000305176	18.254974043586
250.19999694824	18.167864783345
250.60000610352	18.081021856547
251.00000000000	17.994438785706
251.39999389648	17.908095095833
251.80000305176	17.821973944112
252.19999694824	17.736071610595
252.60000610352	17.650380912425
253.00000000000	17.564864932724
253.39999389648	17.479541809324
253.80000305176	17.394394904085
254.19999694824	17.309395001311
254.60000610352	17.224544468613
255.00000000000	17.139847350174
255.39999389648	17.055266174178
255.80000305176	16.970810452382
256.20001220703	16.886473802265
256.60000610352	16.802242506778
257.00000000000	16.718110615786
257.39999389648	16.634064242661
257.79998779297	16.550106197259
258.20001220703	16.466228470743
258.60000610352	16.382411537637
259.00000000000	16.298654067403
259.39999389648	16.214965356700
259.79998779297	16.131334245590
260.20001220703	16.047750816928
260.60000610352	15.964210367649
261.00000000000	15.880720691264
261.39999389648	15.797249223433
261.79998779297	15.713840317954
262.20001220703	15.630449113558
262.60000610352	15.547081345020
263.00000000000	15.463750752362
263.39999389648	15.380435532243
263.79998779297	15.297155479027
264.20001220703	15.213888883227
264.60000610352	15.130641979821
265.00000000000	15.047426051307
265.39999389648	14.964234528203
265.79998779297	14.881062857614
266.20001220703	14.797910713148
266.60000610352	14.714779337105
267.00000000000	14.631682355003
267.39999389648	14.548600144488
267.79998779297	14.465553319272
268.20001220703	14.382538960828
268.60000610352	14.299544941537
269.00000000000	14.216597191264
269.39999389648	14.133675682281
269.79998779297	14.050800451330
270.20001220703	13.967971665216
270.60000610352	13.885184845264
271.00000000000	13.802446124493
271.39999389648	13.719770552551
271.79998779297	13.637139780272
272.20001220703	13.554584527860
272.60000610352	13.472091038525
273.00000000000	13.389675559720
273.39999389648	13.307329071864
273.79998779297	13.225071861869
274.20001220703	13.142891094711
