"#Parameters = {L=149.416; Lf=38; Lg=192.8032053872; W=102.45668571429; Wf=3.1; Wg=107.84389110149; ataslengkung=17.811178807947; bawahlengkung=49.475496688742; dgs=160; h=0.89786756453423; sampingdgs=0; skala=8.5380571428571; t=0.019640852974186}";;;;
"#""Frequency / MHz""";S1,1 [Mag];S1,1 [Pha in deg.];Ref.Imp. [Mag];Ref.Imp. [Pha in deg.]
34.139.999.389.648;0.57576554088557;17.327.396.621.253;35.034.201.428.197;0.0000000000000
34.179.998.779.297;0.57331235963186;17.285.142.328.431;35.034.201.428.197;0.0000000000000
34.220.001.220.703;0.57085351701393;17.242.845.673.166;35.034.201.428.197;0.0000000000000
34.260.000.610.352;0.56838929327077;17.200.508.092.558;35.034.201.428.197;0.0000000000000
34.300.000.000.000;0.56591954218782;17.158.130.835.485;35.034.201.428.197;0.0000000000000
34.339.999.389.648;0.56344452808498;17.115.715.355.556;35.034.201.428.197;0.0000000000000
34.379.998.779.297;0.56096437510967;17.073.256.310.291;35.034.201.428.197;0.0000000000000
34.420.001.220.703;0.55847894626019;17.030.757.387.892;35.034.201.428.197;0.0000000000000
34.460.000.610.352;0.55598855742089;16.988.216.244.645;35.034.201.428.197;0.0000000000000
34.500.000.000.000;0.55349316101830;16.945.634.071.943;35.034.201.428.197;0.0000000000000
34.539.999.389.648;0.55099295466579;16.903.008.263.838;35.034.201.428.197;0.0000000000000
34.579.998.779.297;0.54848798687857;16.860.344.113.121;35.034.201.428.197;0.0000000000000
34.620.001.220.703;0.54597839963798;16.817.632.201.702;35.034.201.428.197;0.0000000000000
34.660.000.610.352;0.54346425818261;16.774.876.690.582;35.034.201.428.197;0.0000000000000
34.700.000.000.000;0.54094561655009;16.732.078.722.070;35.034.201.428.197;0.0000000000000
34.739.999.389.648;0.53842260346811;16.689.235.720.102;35.034.201.428.197;0.0000000000000
34.779.998.779.297;0.53589526596930;16.646.346.141.764;35.034.201.428.197;0.0000000000000
34.820.001.220.703;0.53336384983713;16.603.413.113.538;35.034.201.428.197;0.0000000000000
34.860.000.610.352;0.53082824972505;16.560.436.004.060;35.034.201.428.197;0.0000000000000
34.900.000.000.000;0.52828873650427;16.517.408.732.969;35.034.201.428.197;0.0000000000000
34.939.999.389.648;0.52574526108793;16.474.336.016.476;35.034.201.428.197;0.0000000000000
34.979.998.779.297;0.52319806057656;16.431.215.641.996;35.034.201.428.197;0.0000000000000
35.020.001.220.703;0.52064713122530;16.388.047.593.469;35.034.201.428.197;0.0000000000000
35.060.000.610.352;0.51809257800547;16.344.828.816.816;35.034.201.428.197;0.0000000000000
35.100.000.000.000;0.51553458746949;16.301.563.626.867;35.034.201.428.197;0.0000000000000
35.139.999.389.648;0.51297319346946;16.258.248.015.064;35.034.201.428.197;0.0000000000000
35.179.998.779.297;0.51040848195279;16.214.881.791.465;35.034.201.428.197;0.0000000000000
35.220.001.220.703;0.50784052987804;16.171.464.981.062;35.034.201.428.197;0.0000000000000
35.260.000.610.352;0.50526952363521;16.127.994.893.821;35.034.201.428.197;0.0000000000000
35.300.000.000.000;0.50269550770206;16.084.471.545.049;35.034.201.428.197;0.0000000000000
35.339.999.389.648;0.50011856404573;16.040.897.705.616;35.034.201.428.197;0.0000000000000
35.379.998.779.297;0.49753884684589;15.997.270.590.005;35.034.201.428.197;0.0000000000000
35.420.001.220.703;0.49495641314269;15.953.584.616.971;35.034.201.428.197;0.0000000000000
35.460.000.610.352;0.49237133037684;15.909.846.764.455;35.034.201.428.197;0.0000000000000
35.500.000.000.000;0.48978381582532;15.866.050.404.969;35.034.201.428.197;0.0000000000000
35.539.999.389.648;0.48719388942567;15.822.197.897.521;35.034.201.428.197;0.0000000000000
35.579.998.779.297;0.48460165648627;15.778.287.968.500;35.034.201.428.197;0.0000000000000
35.620.001.220.703;0.48200719908622;15.734.319.088.342;35.034.201.428.197;0.0000000000000
35.660.000.610.352;0.47941065591712;15.690.294.503.347;35.034.201.428.197;0.0000000000000
35.700.000.000.000;0.47681213891744;15.646.205.434.196;35.034.201.428.197;0.0000000000000
35.739.999.389.648;0.47421171705563;15.602.055.270.654;35.034.201.428.197;0.0000000000000
35.779.998.779.297;0.47160948383082;15.557.844.762.771;35.034.201.428.197;0.0000000000000
35.820.001.220.703;0.46900559527092;15.513.570.323.104;35.034.201.428.197;0.0000000000000
35.860.000.610.352;0.46640007012165;15.469.231.200.821;35.034.201.428.197;0.0000000000000
35.900.000.000.000;0.46379309913447;15.424.828.120.833;35.034.201.428.197;0.0000000000000
35.939.999.389.648;0.46118469718125;15.380.356.978.206;35.034.201.428.197;0.0000000000000
35.979.998.779.297;0.45857506387509;15.335.819.947.071;35.034.201.428.197;0.0000000000000
36.020.001.220.703;0.45596422429172;15.291.215.994.988;35.034.201.428.197;0.0000000000000
36.060.000.610.352;0.45335233453608;15.246.544.140.135;35.034.201.428.197;0.0000000000000
36.100.000.000.000;0.45073941630024;15.201.799.367.324;35.034.201.428.197;0.0000000000000
36.139.999.389.648;0.44812574018608;15.156.981.294.046;35.034.201.428.197;0.0000000000000
36.179.998.779.297;0.44551119571322;15.112.092.908.087;35.034.201.428.197;0.0000000000000
36.220.001.220.703;0.44289600645531;15.067.128.498.434;35.034.201.428.197;0.0000000000000
36.260.000.610.352;0.44028026414056;15.022.090.236.147;35.034.201.428.197;0.0000000000000
36.300.000.000.000;0.43766409403337;14.976.975.559.206;35.034.201.428.197;0.0000000000000
36.339.999.389.648;0.43504753704946;14.931.785.372.619;35.034.201.428.197;0.0000000000000
36.379.998.779.297;0.43243076429592;14.886.512.299.860;35.034.201.428.197;0.0000000000000
36.420.001.220.703;0.42981381148886;14.841.161.207.658;35.034.201.428.197;0.0000000000000
36.460.000.610.352;0.42719685456060;14.795.725.483.060;35.034.201.428.197;0.0000000000000
36.500.000.000.000;0.42457998946908;14.750.209.368.822;35.034.201.428.197;0.0000000000000
36.539.999.389.648;0.42196326233583;14.704.606.858.846;35.034.201.428.197;0.0000000000000
36.579.998.779.297;0.41934681387805;14.658.919.701.409;35.034.201.428.197;0.0000000000000
36.620.001.220.703;0.41673071940802;14.613.142.115.389;35.034.201.428.197;0.0000000000000
36.660.000.610.352;0.41411513167744;14.567.274.891.792;35.034.201.428.197;0.0000000000000
36.700.000.000.000;0.41150017184311;14.521.318.711.804;35.034.201.428.197;0.0000000000000
36.739.999.389.648;0.40888587007066;14.475.266.631.247;35.034.201.428.197;0.0000000000000
36.779.998.779.297;0.40627236677042;14.429.124.754.606;35.034.201.428.197;0.0000000000000
36.820.001.220.703;0.40365978784658;14.382.884.301.273;35.034.201.428.197;0.0000000000000
36.860.000.610.352;0.40104824311118;14.336.542.667.191;35.034.201.428.197;0.0000000000000
36.900.000.000.000;0.39843780512884;14.290.104.383.829;35.034.201.428.197;0.0000000000000
36.939.999.389.648;0.39582859430415;14.243.565.903.842;35.034.201.428.197;0.0000000000000
36.979.998.779.297;0.39322073464474;14.196.918.735.164;35.034.201.428.197;0.0000000000000
37.020.001.220.703;0.39061429703806;14.150.170.240.279;35.034.201.428.197;0.0000000000000
37.060.000.610.352;0.38800939656730;14.103.312.147.350;35.034.201.428.197;0.0000000000000
37.100.000.000.000;0.38540619139837;14.056.343.888.111;35.034.201.428.197;0.0000000000000
37.139.999.389.648;0.38280472514188;14.009.260.712.525;35.034.201.428.197;0.0000000000000
37.179.998.779.297;0.38020516528403;13.962.068.175.096;35.034.201.428.197;0.0000000000000
37.220.001.220.703;0.37760751384733;13.914.756.722.119;35.034.201.428.197;0.0000000000000
37.260.000.610.352;0.37501199962153;13.867.326.700.275;35.034.201.428.197;0.0000000000000
37.300.000.000.000;0.37241870384566;13.819.777.610.302;35.034.201.428.197;0.0000000000000
37.339.999.389.648;0.36982765294935;13.772.103.015.672;35.034.201.428.197;0.0000000000000
37.379.998.779.297;0.36723905461494;13.724.302.339.938;35.034.201.428.197;0.0000000000000
37.420.001.220.703;0.36465300054283;13.676.372.216.091;35.034.201.428.197;0.0000000000000
37.460.000.610.352;0.36206954526447;13.628.311.957.743;35.034.201.428.197;0.0000000000000
37.500.000.000.000;0.35948884315109;13.580.119.902.585;35.034.201.428.197;0.0000000000000
37.539.999.389.648;0.35691101359839;13.531.792.274.456;35.034.201.428.197;0.0000000000000
37.579.998.779.297;0.35433610533064;13.483.318.311.621;35.034.201.428.197;0.0000000000000
37.620.001.220.703;0.35176429449780;13.434.709.003.116;35.034.201.428.197;0.0000000000000
37.660.000.610.352;0.34919565544581;13.385.948.457.464;35.034.201.428.197;0.0000000000000
37.700.000.000.000;0.34663034317057;13.337.044.302.821;35.034.201.428.197;0.0000000000000
37.739.999.389.648;0.34406841289788;13.287.987.097.013;35.034.201.428.197;0.0000000000000
37.779.998.779.297;0.34151002615382;13.238.775.586.737;35.034.201.428.197;0.0000000000000
37.820.001.220.703;0.33895526526048;13.189.405.700.265;35.034.201.428.197;0.0000000000000
37.860.000.610.352;0.33640427782801;13.139.876.106.044;35.034.201.428.197;0.0000000000000
37.900.000.000.000;0.33385707975598;13.090.180.698.612;35.034.201.428.197;0.0000000000000
37.939.999.389.648;0.33131394022098;13.040.319.074.526;35.034.201.428.197;0.0000000000000
37.979.998.779.297;0.32877482951452;12.990.284.124.044;35.034.201.428.197;0.0000000000000
38.020.001.220.703;0.32623997115977;12.940.073.808.612;35.034.201.428.197;0.0000000000000
38.060.000.610.352;0.32370944509691;12.889.683.136.489;35.034.201.428.197;0.0000000000000
38.100.000.000.000;0.32118330528060;12.839.109.840.663;35.034.201.428.197;0.0000000000000
38.139.999.389.648;0.31866174778297;12.788.350.657.660;35.034.201.428.197;0.0000000000000
38.179.998.779.297;0.31614484440367;12.737.400.366.358;35.034.201.428.197;0.0000000000000
38.220.001.220.703;0.31363275906369;12.686.253.135.063;35.034.201.428.197;0.0000000000000
38.260.000.610.352;0.31112556833125;12.634.906.384.225;35.034.201.428.197;0.0000000000000
38.300.000.000.000;0.30862342912619;12.583.357.804.611;35.034.201.428.197;0.0000000000000
38.339.999.389.648;0.30612644771432;12.531.598.619.747;35.034.201.428.197;0.0000000000000
38.379.998.779.297;0.30363470036005;12.479.626.227.156;35.034.201.428.197;0.0000000000000
38.420.001.220.703;0.30114838820183;12.427.438.099.811;35.034.201.428.197;0.0000000000000
38.460.000.610.352;0.29866755130899;12.375.023.185.061;35.034.201.428.197;0.0000000000000
38.500.000.000.000;0.29619237826092;12.322.381.522.508;35.034.201.428.197;0.0000000000000
38.539.999.389.648;0.29372298358800;12.269.507.596.943;35.034.201.428.197;0.0000000000000
38.579.998.779.297;0.29125947094614;12.216.396.004.942;35.034.201.428.197;0.0000000000000
38.620.001.220.703;0.28880198724002;12.163.038.699.388;35.034.201.428.197;0.0000000000000
38.660.000.610.352;0.28635064515363;12.109.432.540.582;35.034.201.428.197;0.0000000000000
38.700.000.000.000;0.28390560064787;12.055.572.471.841;35.034.201.428.197;0.0000000000000
38.739.999.389.648;0.28146693808540;12.001.447.278.437;35.034.201.428.197;0.0000000000000
38.779.998.779.297;0.27903479602590;11.947.060.098.947;35.034.201.428.197;0.0000000000000
38.820.001.220.703;0.27660936871243;11.892.396.605.517;35.034.201.428.197;0.0000000000000
38.860.000.610.352;0.27419072559373;11.837.454.401.111;35.034.201.428.197;0.0000000000000
38.900.000.000.000;0.27177904458548;11.782.225.588.478;35.034.201.428.197;0.0000000000000
38.939.999.389.648;0.26937440569984;11.726.704.210.862;35.034.201.428.197;0.0000000000000
38.979.998.779.297;0.26697700249084;11.670.882.649.900;35.034.201.428.197;0.0000000000000
39.020.001.220.703;0.26458695122386;11.614.754.816.618;35.034.201.428.197;0.0000000000000
39.060.000.610.352;0.26220442098633;11.558.315.460.655;35.034.201.428.197;0.0000000000000
39.100.000.000.000;0.25982949245339;11.501.551.364.580;35.034.201.428.197;0.0000000000000
39.139.999.389.648;0.25746238542033;11.444.459.162.594;35.034.201.428.197;0.0000000000000
39.179.998.779.297;0.25510319035875;11.387.031.002.903;35.034.201.428.197;0.0000000000000
39.220.001.220.703;0.25275208819161;11.329.258.403.900;35.034.201.428.197;0.0000000000000
39.260.000.610.352;0.25040922568956;11.271.130.761.554;35.034.201.428.197;0.0000000000000
39.300.000.000.000;0.24807471892074;11.212.642.465.548;35.034.201.428.197;0.0000000000000
39.339.999.389.648;0.24574879819093;11.153.785.308.021;35.034.201.428.197;0.0000000000000
39.379.998.779.297;0.24343154235295;11.094.548.505.335;35.034.201.428.197;0.0000000000000
39.420.001.220.703;0.24112315559790;11.034.923.553.870;35.034.201.428.197;0.0000000000000
39.460.000.610.352;0.23882378312772;10.974.899.958.133;35.034.201.428.197;0.0000000000000
39.500.000.000.000;0.23653359893949;10.914.472.001.116;35.034.201.428.197;0.0000000000000
39.539.999.389.648;0.23425277038317;10.853.625.760.883;35.034.201.428.197;0.0000000000000
39.579.998.779.297;0.23198146819083;10.792.353.662.123;35.034.201.428.197;0.0000000000000
39.620.001.220.703;0.22971984359345;10.730.641.620.763;35.034.201.428.197;0.0000000000000
39.660.000.610.352;0.22746810131261;10.668.484.125.042;35.034.201.428.197;0.0000000000000
39.700.000.000.000;0.22522641021908;10.605.864.833.256;35.034.201.428.197;0.0000000000000
39.739.999.389.648;0.22299495154135;10.542.778.455.069;35.034.201.428.197;0.0000000000000
39.779.998.779.297;0.22077390577857;10.479.211.243.075;35.034.201.428.197;0.0000000000000
39.820.001.220.703;0.21856346948873;10.415.146.827.780;35.034.201.428.197;0.0000000000000
39.860.000.610.352;0.21636383032849;10.350.579.693.989;35.034.201.428.197;0.0000000000000
39.900.000.000.000;0.21417517533536;10.285.496.202.293;35.034.201.428.197;0.0000000000000
39.939.999.389.648;0.21199771529743;10.219.882.691.035;35.034.201.428.197;0.0000000000000
39.979.998.779.297;0.20983167801846;10.153.722.643.448;35.034.201.428.197;0.0000000000000
40.020.001.220.703;0.20767721208286;10.087.008.099.970;35.034.201.428.197;0.0000000000000
40.060.000.610.352;0.20553457879834;10.019.728.049.423;35.034.201.428.197;0.0000000000000
40.100.000.000.000;0.20340397428269;99.518.578.442.930;35.034.201.428.197;0.0000000000000
40.139.999.389.648;0.20128563615788;98.833.920.055.992;35.034.201.428.197;0.0000000000000
40.179.998.779.297;0.19917976639682;98.143.169.726.259;35.034.201.428.197;0.0000000000000
40.220.001.220.703;0.19708662400505;97.446.107.228.930;35.034.201.428.197;0.0000000000000
40.260.000.610.352;0.19500640902967;96.742.652.154.540;35.034.201.428.197;0.0000000000000
40.300.000.000.000;0.19293938598140;96.032.586.229.325;35.034.201.428.197;0.0000000000000
40.339.999.389.648;0.19088581955770;95.315.826.144.914;35.034.201.428.197;0.0000000000000
40.379.998.779.297;0.18884590985785;94.592.126.674.858;35.034.201.428.197;0.0000000000000
40.420.001.220.703;0.18681996878599;93.861.378.514.817;35.034.201.428.197;0.0000000000000
40.460.000.610.352;0.18480822577832;93.123.444.815.362;35.034.201.428.197;0.0000000000000
40.500.000.000.000;0.18281097233085;92.378.079.968.017;35.034.201.428.197;0.0000000000000
40.539.999.389.648;0.18082847018241;91.625.147.229.133;35.034.201.428.197;0.0000000000000
40.579.998.779.297;0.17886101056131;90.864.482.682.353;35.034.201.428.197;0.0000000000000
40.620.001.220.703;0.17690887479211;90.095.867.846.671;35.034.201.428.197;0.0000000000000
40.660.000.610.352;0.17497235725642;89.319.111.469.679;35.034.201.428.197;0.0000000000000
40.700.000.000.000;0.17305176786278;88.534.131.571.312;35.034.201.428.197;0.0000000000000
40.739.999.389.648;0.17114742164377;87.740.600.105.480;35.034.201.428.197;0.0000000000000
40.779.998.779.297;0.16925962543807;86.938.435.367.730;35.034.201.428.197;0.0000000000000
40.820.001.220.703;0.16738871888996;86.127.418.696.110;35.034.201.428.197;0.0000000000000
40.860.000.610.352;0.16553501602841;85.307.303.837.209;35.034.201.428.197;0.0000000000000
40.900.000.000.000;0.16369887686969;84.477.955.007.544;35.034.201.428.197;0.0000000000000
40.939.999.389.648;0.16188064846726;83.639.181.121.081;35.034.201.428.197;0.0000000000000
40.979.998.779.297;0.16008064585410;82.790.734.914.729;35.034.201.428.197;0.0000000000000
41.020.001.220.703;0.15829930735659;81.932.480.602.479;35.034.201.428.197;0.0000000000000
41.060.000.610.352;0.15653696534942;81.064.144.712.459;35.034.201.428.197;0.0000000000000
41.100.000.000.000;0.15479398456856;80.185.590.477.654;35.034.201.428.197;0.0000000000000
41.139.999.389.648;0.15307079984515;79.296.574.343.317;35.034.201.428.197;0.0000000000000
41.179.998.779.297;0.15136777749885;78.396.955.849.319;35.034.201.428.197;0.0000000000000
41.220.001.220.703;0.14968533081031;77.486.491.823.412;35.034.201.428.197;0.0000000000000
41.260.000.610.352;0.14802389236637;76.564.962.740.399;35.034.201.428.197;0.0000000000000
41.300.000.000.000;0.14638386929827;75.632.259.632.956;35.034.201.428.197;0.0000000000000
41.339.999.389.648;0.14476570404698;74.688.134.962.535;35.034.201.428.197;0.0000000000000
41.379.998.779.297;0.14316982520908;73.732.454.391.747;35.034.201.428.197;0.0000000000000
41.420.001.220.703;0.14159670558315;72.764.974.623.194;35.034.201.428.197;0.0000000000000
41.460.000.610.352;0.14004678161185;71.785.606.040.784;35.034.201.428.197;0.0000000000000
41.500.000.000.000;0.13852054329889;70.794.163.382.571;35.034.201.428.197;0.0000000000000
41.539.999.389.648;0.13701843826426;69.790.424.510.276;35.034.201.428.197;0.0000000000000
41.579.998.779.297;0.13554096422574;68.774.367.203.381;35.034.201.428.197;0.0000000000000
41.620.001.220.703;0.13408859168333;67.745.740.524.245;35.034.201.428.197;0.0000000000000
41.660.000.610.352;0.13266183285694;66.704.465.437.441;35.034.201.428.197;0.0000000000000
41.700.000.000.000;0.13126118568318;65.650.429.178.373;35.034.201.428.197;0.0000000000000
41.739.999.389.648;0.12988714997612;64.583.553.883.997;35.034.201.428.197;0.0000000000000
41.779.998.779.297;0.12854021716618;63.503.729.049.683;35.034.201.428.197;0.0000000000000
41.820.001.220.703;0.12722093033326;62.410.925.894.766;35.034.201.428.197;0.0000000000000
41.860.000.610.352;0.12592978702293;61.305.088.906.660;35.034.201.428.197;0.0000000000000
41.900.000.000.000;0.12466731568110;60.186.168.460.677;35.034.201.428.197;0.0000000000000
41.939.999.389.648;0.12343402898781;59.054.133.574.477;35.034.201.428.197;0.0000000000000
41.979.998.779.297;0.12223043676459;57.909.093.879.190;35.034.201.428.197;0.0000000000000
42.020.001.220.703;0.12105707092724;56.751.050.549.901;35.034.201.428.197;0.0000000000000
42.060.000.610.352;0.11991443105802;55.580.025.665.282;35.034.201.428.197;0.0000000000000
42.100.000.000.000;0.11880304740331;54.396.192.028.745;35.034.201.428.197;0.0000000000000
42.139.999.389.648;0.11772339956423;53.199.595.305.361;35.034.201.428.197;0.0000000000000
42.179.998.779.297;0.11667601228311;51.990.463.133.922;35.034.201.428.197;0.0000000000000
42.220.001.220.703;0.11566135002604;50.768.896.326.504;35.034.201.428.197;0.0000000000000
42.260.000.610.352;0.11467989851473;49.535.199.505.065;35.034.201.428.197;0.0000000000000
42.300.000.000.000;0.11373212487558;48.289.563.628.578;35.034.201.428.197;0.0000000000000
42.339.999.389.648;0.11281848714356;47.032.288.847.220;35.034.201.428.197;0.0000000000000
42.379.998.779.297;0.11193940841215;45.763.704.683.298;35.034.201.428.197;0.0000000000000
42.420.001.220.703;0.11109531313742;44.484.166.750.686;35.034.201.428.197;0.0000000000000
42.460.000.610.352;0.11028660809404;43.194.024.707.954;35.034.201.428.197;0.0000000000000
42.500.000.000.000;0.10951365537549;41.893.747.090.240;35.034.201.428.197;0.0000000000000
42.539.999.389.648;0.10877680728121;40.583.799.426.366;35.034.201.428.197;0.0000000000000
42.579.998.779.297;0.10807640763524;39.264.615.230.767;35.034.201.428.197;0.0000000000000
42.620.001.220.703;0.10741273573101;37.936.799.442.050;35.034.201.428.197;0.0000000000000
42.660.000.610.352;0.10678607220600;36.600.870.913.204;35.034.201.428.197;0.0000000000000
42.700.000.000.000;0.10619664030115;35.257.454.318.722;35.034.201.428.197;0.0000000000000
42.739.999.389.648;0.10564465942389;33.907.126.176.626;35.034.201.428.197;0.0000000000000
42.779.998.779.297;0.10513029212921;32.550.596.061.064;35.034.201.428.197;0.0000000000000
42.820.001.220.703;0.10465367001729;31.188.545.643.658;35.034.201.428.197;0.0000000000000
42.860.000.610.352;0.10421489715460;29.821.635.172.519;35.034.201.428.197;0.0000000000000
42.900.000.000.000;0.10381401973403;28.450.624.747.446;35.034.201.428.197;0.0000000000000
42.939.999.389.648;0.10345106724255;27.076.308.387.562;35.034.201.428.197;0.0000000000000
42.979.998.779.297;0.10312600823016;25.699.342.185.506;35.034.201.428.197;0.0000000000000
43.020.001.220.703;0.10283878099301;24.320.628.041.190;35.034.201.428.197;0.0000000000000
43.060.000.610.352;0.10258928567364;22.940.846.833.391;35.034.201.428.197;0.0000000000000
43.100.000.000.000;0.10237737158144;21.560.875.296.280;35.034.201.428.197;0.0000000000000
43.139.999.389.648;0.10220285481206;20.181.532.927.702;35.034.201.428.197;0.0000000000000
43.179.998.779.297;0.10206549896545;18.803.498.986.264;35.034.201.428.197;0.0000000000000
43.220.001.220.703;0.10196503694432;17.427.683.401.430;35.034.201.428.197;0.0000000000000
43.260.000.610.352;0.10190116631243;16.054.841.967.359;35.034.201.428.197;0.0000000000000
43.300.000.000.000;0.10187353049326;14.685.744.591.736;35.034.201.428.197;0.0000000000000
43.339.999.389.648;0.10188174965716;13.321.126.400.727;35.034.201.428.197;0.0000000000000
43.379.998.779.297;0.10192540213567;11.961.782.713.255;35.034.201.428.197;0.0000000000000
43.420.001.220.703;0.10200403170152;10.608.449.050.931;35.034.201.428.197;0.0000000000000
43.460.000.610.352;0.10211715306390;92.618.087.406.840;35.034.201.428.197;0.0000000000000
43.500.000.000.000;0.10226423559985;79.225.444.515.982;35.034.201.428.197;0.0000000000000
43.539.999.389.648;0.10244473519754;65.912.857.861.503;35.034.201.428.197;0.0000000000000
43.579.998.779.297;0.10265806990007;52.686.885.315.078;35.034.201.428.197;0.0000000000000
43.620.001.220.703;0.10290364978719;39.553.252.120.717;35.034.201.428.197;0.0000000000000
43.660.000.610.352;0.10318083720647;26.517.697.423.047;35.034.201.428.197;0.0000000000000
43.700.000.000.000;0.10348899216661;13.585.418.621.526;35.034.201.428.197;0.0000000000000
43.739.999.389.648;0.10382744895262;0.076132932295809;35.034.201.428.197;0.0000000000000
43.779.998.779.297;0.10419553201021;-11.949.926.034.523;35.034.201.428.197;0.0000000000000
43.820.001.220.703;0.10459255123290;-24.544.247.049.667;35.034.201.428.197;0.0000000000000
43.860.000.610.352;0.10501778993496;-37.017.812.384.844;35.034.201.428.197;0.0000000000000
43.900.000.000.000;0.10547054252946;-49.367.063.806.568;35.034.201.428.197;0.0000000000000
43.939.999.389.648;0.10595007601515;-61.589.004.030.078;35.034.201.428.197;0.0000000000000
43.979.998.779.297;0.10645566861812;-73.680.358.668.940;35.034.201.428.197;0.0000000000000
44.020.001.220.703;0.10698659991889;-85.639.194.934.364;35.034.201.428.197;0.0000000000000
44.060.000.610.352;0.10754213024062;-97.463.349.916.541;35.034.201.428.197;0.0000000000000
44.100.000.000.000;0.10812152093050;-10.915.062.299.876;35.034.201.428.197;0.0000000000000
44.139.999.389.648;0.10872404563134;-12.069.993.006.880;35.034.201.428.197;0.0000000000000
44.179.998.779.297;0.10934897672074;-13.210.989.982.985;35.034.201.428.197;0.0000000000000
44.220.001.220.703;0.10999560874931;-14.337.970.898.374;35.034.201.428.197;0.0000000000000
44.260.000.610.352;0.11066320671362;-15.450.854.380.942;35.034.201.428.197;0.0000000000000
44.300.000.000.000;0.11135106408910;-16.549.640.797.037;35.034.201.428.197;0.0000000000000
44.339.999.389.648;0.11205848605271;-17.634.274.563.417;35.034.201.428.197;0.0000000000000
44.379.998.779.297;0.11278478895489;-18.704.782.856.773;35.034.201.428.197;0.0000000000000
44.420.001.220.703;0.11352927859587;-19.761.169.180.840;35.034.201.428.197;0.0000000000000
44.460.000.610.352;0.11429129618123;-20.803.537.154.536;35.034.201.428.197;0.0000000000000
44.500.000.000.000;0.11507018195524;-21.831.861.600.830;35.034.201.428.197;0.0000000000000
44.539.999.389.648;0.11586528315371;-22.846.335.820.454;35.034.201.428.197;0.0000000000000
44.579.998.779.297;0.11667598703669;-23.847.015.775.974;35.034.201.428.197;0.0000000000000
44.620.001.220.703;0.11750165999722;-24.833.977.185.760;35.034.201.428.197;0.0000000000000
44.660.000.610.352;0.11834170533448;-25.807.388.344.466;35.034.201.428.197;0.0000000000000
44.700.000.000.000;0.11919553477415;-26.767.384.905.345;35.034.201.428.197;0.0000000000000
44.739.999.389.648;0.12006257255764;-27.714.103.909.239;35.034.201.428.197;0.0000000000000
44.779.998.779.297;0.12094224938098;-28.647.708.409.319;35.034.201.428.197;0.0000000000000
44.820.001.220.703;0.12183402954761;-29.568.363.496.138;35.034.201.428.197;0.0000000000000
44.860.000.610.352;0.12273736276247;-30.476.231.642.095;35.034.201.428.197;0.0000000000000
44.900.000.000.000;0.12365176061494;-31.371.479.440.257;35.034.201.428.197;0.0000000000000
44.939.999.389.648;0.12457668603130;-32.254.323.248.664;35.034.201.428.197;0.0000000000000
44.979.998.779.297;0.12551167541737;-33.124.978.452.309;35.034.201.428.197;0.0000000000000
45.020.001.220.703;0.12645624762772;-33.983.560.210.256;35.034.201.428.197;0.0000000000000
45.060.000.610.352;0.12740993410527;-34.830.311.842.343;35.034.201.428.197;0.0000000000000
45.100.000.000.000;0.12837229811590;-35.665.427.701.797;35.034.201.428.197;0.0000000000000
45.139.999.389.648;0.12934291827364;-36.489.093.587.949;35.034.201.428.197;0.0000000000000
45.179.998.779.297;0.13032134128865;-37.301.530.571.820;35.034.201.428.197;0.0000000000000
45.220.001.220.703;0.13130717943146;-38.102.929.957.100;35.034.201.428.197;0.0000000000000
45.260.000.610.352;0.13230006034981;-38.893.484.733.208;35.034.201.428.197;0.0000000000000
45.300.000.000.000;0.13329957438185;-39.673.436.942.171;35.034.201.428.197;0.0000000000000
45.339.999.389.648;0.13430537923014;-40.442.924.592.193;35.034.201.428.197;0.0000000000000
45.379.998.779.297;0.13531708069351;-41.202.168.609.188;35.034.201.428.197;0.0000000000000
45.420.001.220.703;0.13633437235391;-41.951.385.205.161;35.034.201.428.197;0.0000000000000
45.460.000.610.352;0.13735692522568;-42.690.770.843.082;35.034.201.428.197;0.0000000000000
45.500.000.000.000;0.13838438993177;-43.420.505.856.630;35.034.201.428.197;0.0000000000000
45.539.999.389.648;0.13941646772099;-44.140.764.696.154;35.034.201.428.197;0.0000000000000
45.579.998.779.297;0.14045287732080;-44.851.813.662.491;35.034.201.428.197;0.0000000000000
45.620.001.220.703;0.14149330971362;-45.553.738.473.728;35.034.201.428.197;0.0000000000000
45.660.000.610.352;0.14253748782765;-46.246.783.540.809;35.034.201.428.197;0.0000000000000
45.700.000.000.000;0.14358514658454;-46.931.141.794.580;35.034.201.428.197;0.0000000000000
45.739.999.389.648;0.14463602954182;-47.606.945.866.342;35.034.201.428.197;0.0000000000000
45.779.998.779.297;0.14568990608023;-48.274.448.022.157;35.034.201.428.197;0.0000000000000
45.820.001.220.703;0.14674650563405;-48.933.751.474.064;35.034.201.428.197;0.0000000000000
45.860.000.610.352;0.14780560225265;-49.585.022.456.280;35.034.201.428.197;0.0000000000000
45.900.000.000.000;0.14886698566646;-50.228.482.168.084;35.034.201.428.197;0.0000000000000
45.939.999.389.648;0.14993041548615;-50.864.262.928.462;35.034.201.428.197;0.0000000000000
45.979.998.779.297;0.15099570848753;-51.492.532.501.118;35.034.201.428.197;0.0000000000000
46.020.001.220.703;0.15206264715697;-52.113.424.193.130;35.034.201.428.197;0.0000000000000
